,model,informative_features,main_features,random_features,moderator_features,random_seed,total_features,informative_recall,main_recall,moderator_recall,feature_precision
0,default,3,2,1,1,782,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,782,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,1,136,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,136,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,260,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,260,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,735,8,1.0,1.0,1.0,0.75
1,shap,3,2,0,1,735,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,285,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,2,1,285,8,1.0,1.0,1.0,0.75
0,default,3,2,0,1,526,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,526,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,490,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,490,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,690,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,1,690,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,1,1,897,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,897,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,826,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,826,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,990,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,990,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,299,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,299,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,513,8,1.0,1.0,1.0,0.75
1,shap,3,2,0,0,513,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,585,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,585,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,806,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,806,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,77,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,77,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,237,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,237,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,1,859,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,859,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,986,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,986,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,104,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,104,5,1.0,1.0,0.0,1.0
0,default,3,2,0,0,789,5,1.0,1.0,0.0,1.0
1,shap,3,2,0,0,789,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,792,8,1.0,1.0,1.0,0.75
1,shap,3,2,0,0,792,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,408,8,1.0,1.0,1.0,0.75
1,shap,3,2,0,0,408,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,433,8,1.0,1.0,1.0,0.75
1,shap,3,2,0,0,433,5,1.0,1.0,0.0,1.0
0,default,3,2,0,0,541,5,1.0,1.0,0.0,1.0
1,shap,3,2,1,0,541,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,205,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,1,205,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,2,0,139,7,1.0,1.0,0.0,0.7142857142857143
1,shap,3,2,0,0,139,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,542,6,1.0,1.0,1.0,1.0
1,shap,3,1,1,0,542,5,1.0,0.5,0.0,0.8
0,default,3,2,0,1,314,6,1.0,1.0,1.0,1.0
1,shap,3,2,2,0,314,7,1.0,1.0,0.0,0.7142857142857143
0,default,3,2,0,1,777,6,1.0,1.0,1.0,1.0
