,model,informative_features,main_features,random_features,moderator_features,random_seed,AUC,n_features,total_features,informative_recall,main_recall,moderator_recall,feature_precision
0,default,3,2,0,1,290,0.990075,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,290,0.989575,6,6,1.0,1.0,1.0,1.0
0,default,3,2,0,1,917,0.989025,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,917,0.98765,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,595,0.966947,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,595,0.967722,6,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,143,0.951399,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,143,0.948124,7,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,1,0,0,898,0.91171,4,4,1.0,0.5,0.0,1.0
1,shap,3,2,0,0,898,0.929573,5,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,966,0.96235,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,966,0.970025,5,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,189,0.929475,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,1,189,0.928425,6,6,1.0,1.0,1.0,1.0
0,default,3,1,0,0,485,0.974599,4,4,1.0,0.5,0.0,1.0
1,shap,3,2,0,0,485,0.969499,5,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,323,0.966125,8,8,1.0,1.0,1.0,0.75
1,shap,3,2,2,0,323,0.968425,7,7,1.0,1.0,0.0,0.7142857142857143
0,default,3,2,0,1,914,0.912837,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,2,1,914,0.9154,8,8,1.0,1.0,1.0,0.75
0,default,3,2,1,1,255,0.929925,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,255,0.923375,5,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,50,0.960575,8,8,1.0,1.0,1.0,0.75
1,shap,3,2,1,0,50,0.960075,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,932,0.97815,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,932,0.9741,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,1,0,0,222,0.97985,4,4,1.0,0.5,0.0,1.0
1,shap,3,1,0,0,222,0.97985,4,4,1.0,0.5,0.0,1.0
0,default,3,2,1,1,388,0.93855,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,2,0,388,0.923675,7,7,1.0,1.0,0.0,0.7142857142857143
0,default,3,2,1,1,113,0.972075,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,113,0.972325,7,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,1,0,441,0.974725,6,6,1.0,1.0,0.0,0.8333333333333334
1,shap,3,2,1,0,441,0.974625,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,340,0.949849,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,340,0.942749,5,5,1.0,1.0,0.0,1.0
0,default,3,2,0,0,455,0.990938,5,5,1.0,1.0,0.0,1.0
1,shap,3,2,1,0,455,0.992825,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,1,1,0,602,0.981025,5,5,1.0,0.5,0.0,0.8
1,shap,3,2,1,0,602,0.985625,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,181,0.951875,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,181,0.956625,6,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,9,0.989175,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,9,0.987,5,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,268,0.954824,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,1,268,0.958074,6,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,302,0.966397,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,302,0.966747,5,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,709,0.961024,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,2,1,709,0.959849,8,8,1.0,1.0,1.0,0.75
0,default,3,2,0,1,996,0.981025,6,6,1.0,1.0,1.0,1.0
1,shap,3,2,2,1,996,0.98175,8,8,1.0,1.0,1.0,0.75
0,default,3,2,2,1,605,0.966675,8,8,1.0,1.0,1.0,0.75
1,shap,3,2,2,1,605,0.966675,8,8,1.0,1.0,1.0,0.75
0,default,3,2,1,1,20,0.987275,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,20,0.983925,5,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,600,0.972825,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,1,600,0.97885,6,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,280,0.9004,7,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,280,0.890425,6,6,1.0,1.0,0.0,0.8333333333333334
